company_id,metric_type,period_years,value_pct,computed_cagr_pct,divergence_pct
COMP034,roe,5,22.5,23.934795078697487,5.99459938545489
COMP035,compounded_sales_growth,5,18.2,16.770781814307625,8.522072503936982
COMP035,compounded_profit_growth,10,21.0,19.660944384029868,6.810739045972867
COMP035,stock_price_cagr,3,25.0,23.020246335384876,8.60005421215674
COMP035,roe,5,22.5,21.278908985102994,5.738503866677897
COMP037,compounded_profit_growth,5,19.4,20.48398946617393,5.291886465592893
COMP038,compounded_sales_growth,10,15.5,14.49231342421367,6.9532485690151695
COMP038,stock_price_cagr,3,25.0,26.89204221900978,7.035695554844514
COMP039,compounded_sales_growth,10,15.5,16.47227545683924,5.902496345370158
COMP040,compounded_sales_growth,10,15.5,14.744202609739151,5.126064869466821
COMP040,compounded_profit_growth,5,19.4,17.923476759803233,8.237928723227107
COMP040,roe,5,22.5,21.33759844586538,5.447668148239345
COMP041,compounded_sales_growth,10,15.5,16.59233728919523,6.583384065526126
COMP041,compounded_sales_growth,5,18.2,19.521840016231536,6.771083131162257
COMP041,compounded_profit_growth,10,21.0,22.393944351140707,6.22464863394957
COMP041,stock_price_cagr,3,25.0,23.06182646611547,8.404249926744836
COMP041,roe,5,22.5,24.041946825315815,6.413568903214475
COMP042,compounded_sales_growth,5,18.2,19.558898833055167,6.947726682642201
COMP042,compounded_profit_growth,10,21.0,22.557763123019893,6.905663094893555
COMP042,compounded_profit_growth,5,19.4,20.495741349770686,5.346190367409895
COMP043,compounded_sales_growth,10,15.5,16.37081894536181,5.3193364868806965
COMP043,compounded_profit_growth,10,21.0,19.889495628865273,5.583371201847229
COMP043,stock_price_cagr,3,25.0,26.744619096643124,6.523252734835553
COMP044,compounded_sales_growth,5,18.2,17.026977949860477,6.889196976666868
COMP044,compounded_profit_growth,5,19.4,20.92112715072363,7.270770545797381
COMP044,stock_price_cagr,3,25.0,23.560336060946096,6.110540763636683
COMP045,compounded_sales_growth,10,15.5,16.43588521838133,5.694157667483999
COMP046,compounded_profit_growth,10,21.0,22.23336299042915,5.547352377416222
COMP046,compounded_profit_growth,5,19.4,20.68269867513529,6.201795497206311
COMP047,stock_price_cagr,3,25.0,26.560021367270263,5.873569699731744
COMP048,compounded_sales_growth,5,18.2,17.01767540881661,6.9476268807597705
COMP048,compounded_profit_growth,5,19.4,17.959564817865086,8.020434775246084
COMP049,compounded_profit_growth,10,21.0,19.422480839795206,8.12213008841062
COMP049,compounded_profit_growth,5,19.4,17.963928777877562,7.994193474486197
COMP050,compounded_sales_growth,10,15.5,14.575110071376674,6.34568057526832
COMP050,roe,5,22.5,21.007250873977565,7.105875656826457
COMP051,compounded_sales_growth,10,15.5,14.388170668498146,7.727384926953384
COMP051,roe,5,22.5,24.21306748606513,7.0749709306803705
COMP052,roe,5,22.5,20.982442972832157,7.232508765222237
COMP053,compounded_sales_growth,10,15.5,14.322869843670334,8.21853559501465
COMP053,compounded_sales_growth,5,18.2,19.547232183542118,6.892188985591662
COMP053,compounded_profit_growth,10,21.0,22.128893204921013,5.101444498227189
COMP053,roe,5,22.5,21.323859552255044,5.51560773912796
COMP054,compounded_sales_growth,10,15.5,14.647963865824295,5.816754751584432
COMP055,compounded_sales_growth,10,15.5,16.62806589604472,6.78410768334188
COMP056,compounded_profit_growth,10,21.0,19.368362121795982,8.424242937753993
COMP056,compounded_profit_growth,5,19.4,18.208289476133466,6.544879053183819
COMP056,stock_price_cagr,3,25.0,23.184010568087015,7.832939113704124
COMP056,roe,5,22.5,20.84662368834829,7.931146723657811
COMP057,compounded_sales_growth,10,15.5,16.3815422483473,5.381314133815687
COMP057,compounded_profit_growth,5,19.4,18.15167723466071,6.877175862049876
COMP058,compounded_sales_growth,10,15.5,14.689540637376838,5.517254641448666
COMP058,roe,5,22.5,20.86309443517936,7.845938529907095
COMP059,compounded_profit_growth,5,19.4,20.506544467048553,5.39605523898301
COMP059,roe,5,22.5,21.28656393749315,5.700478790611959
COMP060,compounded_sales_growth,10,15.5,14.435010493553067,7.377822876696739
COMP060,compounded_profit_growth,10,21.0,19.40907800341985,8.196793254681298
COMP060,stock_price_cagr,3,25.0,26.76092096569983,6.580195681444782
COMP061,stock_price_cagr,3,25.0,26.765859235106106,6.597431524970454
COMP062,compounded_sales_growth,10,15.5,16.643752598283307,6.871963468150068
COMP062,compounded_sales_growth,5,18.2,19.38038106937606,6.090597832677512
COMP062,compounded_profit_growth,10,21.0,19.977858212892038,5.116373217867557
COMP062,compounded_profit_growth,5,19.4,18.063297477916514,7.400102465885232
COMP062,stock_price_cagr,3,25.0,23.40311200550971,6.8234002132466065
COMP062,roe,5,22.5,20.765598572345578,8.35228236552833
COMP063,compounded_sales_growth,10,15.5,14.494218542674703,6.939190646008389
COMP063,compounded_profit_growth,10,21.0,19.55919385882637,7.3663881628917265
COMP063,stock_price_cagr,3,25.0,26.37950124387782,5.229443995640269
COMP063,roe,5,22.5,20.783778968648974,8.257502323999102
COMP064,compounded_profit_growth,10,21.0,19.717033820808766,6.506892420284995
COMP064,roe,5,22.5,23.85889924869739,5.695565560391818
COMP065,compounded_profit_growth,5,19.4,18.398772343892258,5.441817733236494
COMP066,compounded_sales_growth,10,15.5,16.716452752161672,7.276978975125973
COMP066,roe,5,22.5,24.050726372172832,6.447731965247641
COMP067,compounded_sales_growth,10,15.5,16.38886362457067,5.423583019130506
COMP067,stock_price_cagr,3,25.0,23.412495475343732,6.780586573217312
COMP067,roe,5,22.5,23.94919046404644,6.051104174990908
COMP068,compounded_profit_growth,5,19.4,20.627704101252203,5.95172441501949
COMP068,roe,5,22.5,20.739015545329075,8.491167050923695
COMP069,compounded_sales_growth,10,15.5,16.505347301519773,6.09103997119287
COMP069,compounded_sales_growth,5,18.2,17.00982680280122,6.99697422552696
COMP069,compounded_profit_growth,5,19.4,20.796992345725698,6.717280664926611
COMP069,stock_price_cagr,3,25.0,26.802428587750228,6.72487040437078
COMP071,compounded_profit_growth,10,21.0,19.626452506243602,6.99845014436227
COMP071,stock_price_cagr,3,25.0,23.230235040066578,7.618368720251871
COMP072,compounded_sales_growth,5,18.2,19.32899458019217,5.840937952091587
COMP072,compounded_profit_growth,5,19.4,18.211376018991288,6.526821365772598
COMP072,stock_price_cagr,3,25.0,23.571966728211343,6.05818465745398
COMP073,compounded_sales_growth,5,18.2,17.038469232869566,6.817107518612524
COMP073,compounded_profit_growth,10,21.0,19.60259886854639,7.128652383413445
COMP073,stock_price_cagr,3,25.0,23.291052025456775,7.337358452831458
COMP074,compounded_sales_growth,5,18.2,16.98088764922921,7.179320515827844
COMP074,compounded_profit_growth,10,21.0,19.605054719326244,7.115232783811864
COMP074,compounded_profit_growth,5,19.4,20.910529251667647,7.2237734085433605
COMP075,compounded_sales_growth,5,18.2,19.502387857341795,6.678094328082514
COMP075,compounded_profit_growth,10,21.0,22.63296357444485,7.214979024172733
COMP075,roe,5,22.5,21.00060258011521,7.139782842729099
COMP076,compounded_profit_growth,5,19.4,20.661324011334063,6.104758875288666
COMP076,stock_price_cagr,3,25.0,23.44478992922461,6.6334997049249615
COMP077,compounded_sales_growth,10,15.5,14.2881570390232,8.481450460455228
COMP077,compounded_profit_growth,10,21.0,19.509179006290974,7.641638806165509
COMP077,compounded_profit_growth,5,19.4,18.216810812096096,6.495040213725316
COMP077,stock_price_cagr,3,25.0,23.47010498710842,6.518483891452188
COMP078,compounded_profit_growth,10,21.0,22.55289976287446,6.885588013966933
COMP078,roe,5,22.5,23.826956861482056,5.569141158882841
COMP079,compounded_sales_growth,5,18.2,19.548904034851063,6.900151703882158
COMP079,compounded_profit_growth,10,21.0,19.360839034957785,8.46637360128122
COMP079,compounded_profit_growth,5,19.4,20.858503878100514,6.992370529661088
COMP079,stock_price_cagr,3,25.0,23.172639647802306,7.8858532302382764
COMP079,roe,5,22.5,23.908115209313056,5.889695599109985
COMP080,compounded_sales_growth,5,18.2,19.635513486299402,7.310801865716557
COMP080,compounded_profit_growth,10,21.0,19.56795645751094,7.3183091223579675
COMP080,stock_price_cagr,3,25.0,26.8772101424764,6.984393590425821
COMP081,roe,5,22.5,23.944168837767563,6.031400996010562
COMP082,compounded_sales_growth,10,15.5,14.372707023246816,7.843289193398773
COMP082,compounded_profit_growth,10,21.0,22.513382586497237,6.722146619606208
COMP082,compounded_profit_growth,5,19.4,20.611378785197402,5.877233143021888
COMP083,compounded_sales_growth,5,18.2,17.291808817115594,5.252146796727644
COMP083,roe,5,22.5,20.979844693073947,7.245789133166943
COMP084,compounded_sales_growth,10,15.5,16.676499123012096,7.054832757965556
COMP084,compounded_sales_growth,5,18.2,19.615845687924605,7.217867179676027
COMP085,compounded_sales_growth,5,18.2,17.217540527372325,5.70615455247959
COMP085,compounded_profit_growth,10,21.0,22.38071533989931,6.169218985765995
COMP085,stock_price_cagr,3,25.0,26.799199653167697,6.71363203548144
COMP086,compounded_profit_growth,10,21.0,22.453967704069488,6.475326424407278
COMP086,compounded_profit_growth,5,19.4,20.536262313009267,5.532955781780561
COMP086,stock_price_cagr,3,25.0,23.18087468042476,7.847526655719385
COMP086,roe,5,22.5,20.79492110819011,8.199496804719026
COMP087,compounded_profit_growth,10,21.0,22.637247794498215,7.232539084968331
COMP087,compounded_profit_growth,5,19.4,18.31489402998535,5.924718801201366
COMP088,compounded_sales_growth,10,15.5,16.66538770658022,6.99286285503021
COMP088,compounded_sales_growth,5,18.2,19.196250304171183,5.189817221515951
COMP088,compounded_profit_growth,10,21.0,22.136784447829424,5.135273600863421
COMP089,compounded_sales_growth,10,15.5,14.399811231694299,7.640299935905837
COMP089,compounded_sales_growth,5,18.2,19.262071559654718,5.513797186172206
COMP089,compounded_profit_growth,5,19.4,20.95112365788015,7.403534450987507
COMP089,stock_price_cagr,3,25.0,26.986547348295627,7.36125048772158
COMP090,compounded_sales_growth,5,18.2,19.49515780541763,6.6434845941986245
COMP090,compounded_profit_growth,10,21.0,22.174815232676103,5.297970785095574
COMP090,roe,5,22.5,21.164973894545383,6.307714396938984
COMP091,compounded_sales_growth,10,15.5,16.626046547601632,6.772785967955013
COMP092,compounded_sales_growth,10,15.5,14.54162282865508,6.590579212771104
COMP092,roe,5,22.5,23.76785340114675,5.334320183435569
