company_id,metric_type,period_years,value_pct
COMP031,compounded_profit_growth,10,21.0
COMP031,compounded_profit_growth,5,19.4
COMP031,stock_price_cagr,3,25.0
COMP031,roe,5,22.5
COMP032,compounded_sales_growth,10,15.5
COMP032,compounded_sales_growth,5,18.2
COMP032,compounded_profit_growth,10,21.0
COMP032,compounded_profit_growth,5,19.4
COMP032,stock_price_cagr,3,25.0
COMP032,roe,5,22.5
COMP033,compounded_sales_growth,10,15.5
COMP033,compounded_sales_growth,5,18.2
COMP033,compounded_profit_growth,10,21.0
COMP033,compounded_profit_growth,5,19.4
COMP033,stock_price_cagr,3,25.0
COMP033,roe,5,22.5
COMP034,compounded_sales_growth,10,15.5
COMP034,compounded_sales_growth,5,18.2
COMP034,compounded_profit_growth,10,21.0
COMP034,compounded_profit_growth,5,19.4
COMP034,stock_price_cagr,3,25.0
COMP034,roe,5,22.5
COMP035,compounded_sales_growth,10,15.5
COMP035,compounded_sales_growth,5,18.2
COMP035,compounded_profit_growth,10,21.0
COMP035,compounded_profit_growth,5,19.4
COMP035,stock_price_cagr,3,25.0
COMP035,roe,5,22.5
COMP036,compounded_sales_growth,10,15.5
COMP036,compounded_sales_growth,5,18.2
COMP036,compounded_profit_growth,10,21.0
COMP036,compounded_profit_growth,5,19.4
COMP036,stock_price_cagr,3,25.0
COMP036,roe,5,22.5
COMP037,compounded_sales_growth,10,15.5
COMP037,compounded_sales_growth,5,18.2
COMP037,compounded_profit_growth,10,21.0
COMP037,compounded_profit_growth,5,19.4
COMP037,stock_price_cagr,3,25.0
COMP037,roe,5,22.5
COMP038,compounded_sales_growth,10,15.5
COMP038,compounded_sales_growth,5,18.2
COMP038,compounded_profit_growth,10,21.0
COMP038,compounded_profit_growth,5,19.4
COMP038,stock_price_cagr,3,25.0
COMP038,roe,5,22.5
COMP039,compounded_sales_growth,10,15.5
COMP039,compounded_sales_growth,5,18.2
COMP039,compounded_profit_growth,10,21.0
COMP039,compounded_profit_growth,5,19.4
COMP039,stock_price_cagr,3,25.0
COMP039,roe,5,22.5
COMP040,compounded_sales_growth,10,15.5
COMP040,compounded_sales_growth,5,18.2
COMP040,compounded_profit_growth,10,21.0
COMP040,compounded_profit_growth,5,19.4
COMP040,stock_price_cagr,3,25.0
COMP040,roe,5,22.5
COMP041,compounded_sales_growth,10,15.5
COMP041,compounded_sales_growth,5,18.2
COMP041,compounded_profit_growth,10,21.0
COMP041,compounded_profit_growth,5,19.4
COMP041,stock_price_cagr,3,25.0
COMP041,roe,5,22.5
COMP042,compounded_sales_growth,10,15.5
COMP042,compounded_sales_growth,5,18.2
COMP042,compounded_profit_growth,10,21.0
COMP042,compounded_profit_growth,5,19.4
COMP042,stock_price_cagr,3,25.0
COMP042,roe,5,22.5
COMP043,compounded_sales_growth,10,15.5
COMP043,compounded_sales_growth,5,18.2
COMP043,compounded_profit_growth,10,21.0
COMP043,compounded_profit_growth,5,19.4
COMP043,stock_price_cagr,3,25.0
COMP043,roe,5,22.5
COMP044,compounded_sales_growth,10,15.5
COMP044,compounded_sales_growth,5,18.2
COMP044,compounded_profit_growth,10,21.0
COMP044,compounded_profit_growth,5,19.4
COMP044,stock_price_cagr,3,25.0
COMP044,roe,5,22.5
COMP045,compounded_sales_growth,10,15.5
COMP045,compounded_sales_growth,5,18.2
COMP045,compounded_profit_growth,10,21.0
COMP045,compounded_profit_growth,5,19.4
COMP045,stock_price_cagr,3,25.0
COMP045,roe,5,22.5
COMP046,compounded_sales_growth,10,15.5
COMP046,compounded_sales_growth,5,18.2
COMP046,compounded_profit_growth,10,21.0
COMP046,compounded_profit_growth,5,19.4
COMP046,stock_price_cagr,3,25.0
COMP046,roe,5,22.5
COMP047,compounded_sales_growth,10,15.5
COMP047,compounded_sales_growth,5,18.2
COMP047,compounded_profit_growth,10,21.0
COMP047,compounded_profit_growth,5,19.4
COMP047,stock_price_cagr,3,25.0
COMP047,roe,5,22.5
COMP048,compounded_sales_growth,10,15.5
COMP048,compounded_sales_growth,5,18.2
COMP048,compounded_profit_growth,10,21.0
COMP048,compounded_profit_growth,5,19.4
COMP048,stock_price_cagr,3,25.0
COMP048,roe,5,22.5
COMP049,compounded_sales_growth,10,15.5
COMP049,compounded_sales_growth,5,18.2
COMP049,compounded_profit_growth,10,21.0
COMP049,compounded_profit_growth,5,19.4
COMP049,stock_price_cagr,3,25.0
COMP049,roe,5,22.5
COMP050,compounded_sales_growth,10,15.5
COMP050,compounded_sales_growth,5,18.2
COMP050,compounded_profit_growth,10,21.0
COMP050,compounded_profit_growth,5,19.4
COMP050,stock_price_cagr,3,25.0
COMP050,roe,5,22.5
COMP051,compounded_sales_growth,10,15.5
COMP051,compounded_sales_growth,5,18.2
COMP051,compounded_profit_growth,10,21.0
COMP051,compounded_profit_growth,5,19.4
COMP051,stock_price_cagr,3,25.0
COMP051,roe,5,22.5
COMP052,compounded_sales_growth,10,15.5
COMP052,compounded_sales_growth,5,18.2
COMP052,compounded_profit_growth,10,21.0
COMP052,compounded_profit_growth,5,19.4
COMP052,stock_price_cagr,3,25.0
COMP052,roe,5,22.5
COMP053,compounded_sales_growth,10,15.5
COMP053,compounded_sales_growth,5,18.2
COMP053,compounded_profit_growth,10,21.0
COMP053,compounded_profit_growth,5,19.4
COMP053,stock_price_cagr,3,25.0
COMP053,roe,5,22.5
COMP054,compounded_sales_growth,10,15.5
COMP054,compounded_sales_growth,5,18.2
COMP054,compounded_profit_growth,10,21.0
COMP054,compounded_profit_growth,5,19.4
COMP054,stock_price_cagr,3,25.0
COMP054,roe,5,22.5
COMP055,compounded_sales_growth,10,15.5
COMP055,compounded_sales_growth,5,18.2
COMP055,compounded_profit_growth,10,21.0
COMP055,compounded_profit_growth,5,19.4
COMP055,stock_price_cagr,3,25.0
COMP055,roe,5,22.5
COMP056,compounded_sales_growth,10,15.5
COMP056,compounded_sales_growth,5,18.2
COMP056,compounded_profit_growth,10,21.0
COMP056,compounded_profit_growth,5,19.4
COMP056,stock_price_cagr,3,25.0
COMP056,roe,5,22.5
COMP057,compounded_sales_growth,10,15.5
COMP057,compounded_sales_growth,5,18.2
COMP057,compounded_profit_growth,10,21.0
COMP057,compounded_profit_growth,5,19.4
COMP057,stock_price_cagr,3,25.0
COMP057,roe,5,22.5
COMP058,compounded_sales_growth,10,15.5
COMP058,compounded_sales_growth,5,18.2
COMP058,compounded_profit_growth,10,21.0
COMP058,compounded_profit_growth,5,19.4
COMP058,stock_price_cagr,3,25.0
COMP058,roe,5,22.5
COMP059,compounded_sales_growth,10,15.5
COMP059,compounded_sales_growth,5,18.2
COMP059,compounded_profit_growth,10,21.0
COMP059,compounded_profit_growth,5,19.4
COMP059,stock_price_cagr,3,25.0
COMP059,roe,5,22.5
COMP060,compounded_sales_growth,10,15.5
COMP060,compounded_sales_growth,5,18.2
COMP060,compounded_profit_growth,10,21.0
COMP060,compounded_profit_growth,5,19.4
COMP060,stock_price_cagr,3,25.0
COMP060,roe,5,22.5
COMP061,compounded_sales_growth,10,15.5
COMP061,compounded_sales_growth,5,18.2
COMP061,compounded_profit_growth,10,21.0
COMP061,compounded_profit_growth,5,19.4
COMP061,stock_price_cagr,3,25.0
COMP061,roe,5,22.5
COMP062,compounded_sales_growth,10,15.5
COMP062,compounded_sales_growth,5,18.2
COMP062,compounded_profit_growth,10,21.0
COMP062,compounded_profit_growth,5,19.4
COMP062,stock_price_cagr,3,25.0
COMP062,roe,5,22.5
COMP063,compounded_sales_growth,10,15.5
COMP063,compounded_sales_growth,5,18.2
COMP063,compounded_profit_growth,10,21.0
COMP063,compounded_profit_growth,5,19.4
COMP063,stock_price_cagr,3,25.0
COMP063,roe,5,22.5
COMP064,compounded_sales_growth,10,15.5
COMP064,compounded_sales_growth,5,18.2
COMP064,compounded_profit_growth,10,21.0
COMP064,compounded_profit_growth,5,19.4
COMP064,stock_price_cagr,3,25.0
COMP064,roe,5,22.5
COMP065,compounded_sales_growth,10,15.5
COMP065,compounded_sales_growth,5,18.2
COMP065,compounded_profit_growth,10,21.0
COMP065,compounded_profit_growth,5,19.4
COMP065,stock_price_cagr,3,25.0
COMP065,roe,5,22.5
COMP066,compounded_sales_growth,10,15.5
COMP066,compounded_sales_growth,5,18.2
COMP066,compounded_profit_growth,10,21.0
COMP066,compounded_profit_growth,5,19.4
COMP066,stock_price_cagr,3,25.0
COMP066,roe,5,22.5
COMP067,compounded_sales_growth,10,15.5
COMP067,compounded_sales_growth,5,18.2
COMP067,compounded_profit_growth,10,21.0
COMP067,compounded_profit_growth,5,19.4
COMP067,stock_price_cagr,3,25.0
COMP067,roe,5,22.5
COMP068,compounded_sales_growth,10,15.5
COMP068,compounded_sales_growth,5,18.2
COMP068,compounded_profit_growth,10,21.0
COMP068,compounded_profit_growth,5,19.4
COMP068,stock_price_cagr,3,25.0
COMP068,roe,5,22.5
COMP069,compounded_sales_growth,10,15.5
COMP069,compounded_sales_growth,5,18.2
COMP069,compounded_profit_growth,10,21.0
COMP069,compounded_profit_growth,5,19.4
COMP069,stock_price_cagr,3,25.0
COMP069,roe,5,22.5
COMP070,compounded_sales_growth,10,15.5
COMP070,compounded_sales_growth,5,18.2
COMP070,compounded_profit_growth,10,21.0
COMP070,compounded_profit_growth,5,19.4
COMP070,stock_price_cagr,3,25.0
COMP070,roe,5,22.5
COMP071,compounded_sales_growth,10,15.5
COMP071,compounded_sales_growth,5,18.2
COMP071,compounded_profit_growth,10,21.0
COMP071,compounded_profit_growth,5,19.4
COMP071,stock_price_cagr,3,25.0
COMP071,roe,5,22.5
COMP072,compounded_sales_growth,10,15.5
COMP072,compounded_sales_growth,5,18.2
COMP072,compounded_profit_growth,10,21.0
COMP072,compounded_profit_growth,5,19.4
COMP072,stock_price_cagr,3,25.0
COMP072,roe,5,22.5
COMP073,compounded_sales_growth,10,15.5
COMP073,compounded_sales_growth,5,18.2
COMP073,compounded_profit_growth,10,21.0
COMP073,compounded_profit_growth,5,19.4
COMP073,stock_price_cagr,3,25.0
COMP073,roe,5,22.5
COMP074,compounded_sales_growth,10,15.5
COMP074,compounded_sales_growth,5,18.2
COMP074,compounded_profit_growth,10,21.0
COMP074,compounded_profit_growth,5,19.4
COMP074,stock_price_cagr,3,25.0
COMP074,roe,5,22.5
COMP075,compounded_sales_growth,10,15.5
COMP075,compounded_sales_growth,5,18.2
COMP075,compounded_profit_growth,10,21.0
COMP075,compounded_profit_growth,5,19.4
COMP075,stock_price_cagr,3,25.0
COMP075,roe,5,22.5
COMP076,compounded_sales_growth,10,15.5
COMP076,compounded_sales_growth,5,18.2
COMP076,compounded_profit_growth,10,21.0
COMP076,compounded_profit_growth,5,19.4
COMP076,stock_price_cagr,3,25.0
COMP076,roe,5,22.5
COMP077,compounded_sales_growth,10,15.5
COMP077,compounded_sales_growth,5,18.2
COMP077,compounded_profit_growth,10,21.0
COMP077,compounded_profit_growth,5,19.4
COMP077,stock_price_cagr,3,25.0
COMP077,roe,5,22.5
COMP078,compounded_sales_growth,10,15.5
COMP078,compounded_sales_growth,5,18.2
COMP078,compounded_profit_growth,10,21.0
COMP078,compounded_profit_growth,5,19.4
COMP078,stock_price_cagr,3,25.0
COMP078,roe,5,22.5
COMP079,compounded_sales_growth,10,15.5
COMP079,compounded_sales_growth,5,18.2
COMP079,compounded_profit_growth,10,21.0
COMP079,compounded_profit_growth,5,19.4
COMP079,stock_price_cagr,3,25.0
COMP079,roe,5,22.5
COMP080,compounded_sales_growth,10,15.5
COMP080,compounded_sales_growth,5,18.2
COMP080,compounded_profit_growth,10,21.0
COMP080,compounded_profit_growth,5,19.4
COMP080,stock_price_cagr,3,25.0
COMP080,roe,5,22.5
COMP081,compounded_sales_growth,10,15.5
COMP081,compounded_sales_growth,5,18.2
COMP081,compounded_profit_growth,10,21.0
COMP081,compounded_profit_growth,5,19.4
COMP081,stock_price_cagr,3,25.0
COMP081,roe,5,22.5
COMP082,compounded_sales_growth,10,15.5
COMP082,compounded_sales_growth,5,18.2
COMP082,compounded_profit_growth,10,21.0
COMP082,compounded_profit_growth,5,19.4
COMP082,stock_price_cagr,3,25.0
COMP082,roe,5,22.5
COMP083,compounded_sales_growth,10,15.5
COMP083,compounded_sales_growth,5,18.2
COMP083,compounded_profit_growth,10,21.0
COMP083,compounded_profit_growth,5,19.4
COMP083,stock_price_cagr,3,25.0
COMP083,roe,5,22.5
COMP084,compounded_sales_growth,10,15.5
COMP084,compounded_sales_growth,5,18.2
COMP084,compounded_profit_growth,10,21.0
COMP084,compounded_profit_growth,5,19.4
COMP084,stock_price_cagr,3,25.0
COMP084,roe,5,22.5
COMP085,compounded_sales_growth,10,15.5
COMP085,compounded_sales_growth,5,18.2
COMP085,compounded_profit_growth,10,21.0
COMP085,compounded_profit_growth,5,19.4
COMP085,stock_price_cagr,3,25.0
COMP085,roe,5,22.5
COMP086,compounded_sales_growth,10,15.5
COMP086,compounded_sales_growth,5,18.2
COMP086,compounded_profit_growth,10,21.0
COMP086,compounded_profit_growth,5,19.4
COMP086,stock_price_cagr,3,25.0
COMP086,roe,5,22.5
COMP087,compounded_sales_growth,10,15.5
COMP087,compounded_sales_growth,5,18.2
COMP087,compounded_profit_growth,10,21.0
COMP087,compounded_profit_growth,5,19.4
COMP087,stock_price_cagr,3,25.0
COMP087,roe,5,22.5
COMP088,compounded_sales_growth,10,15.5
COMP088,compounded_sales_growth,5,18.2
COMP088,compounded_profit_growth,10,21.0
COMP088,compounded_profit_growth,5,19.4
COMP088,stock_price_cagr,3,25.0
COMP088,roe,5,22.5
COMP089,compounded_sales_growth,10,15.5
COMP089,compounded_sales_growth,5,18.2
COMP089,compounded_profit_growth,10,21.0
COMP089,compounded_profit_growth,5,19.4
COMP089,stock_price_cagr,3,25.0
COMP089,roe,5,22.5
COMP090,compounded_sales_growth,10,15.5
COMP090,compounded_sales_growth,5,18.2
COMP090,compounded_profit_growth,10,21.0
COMP090,compounded_profit_growth,5,19.4
COMP090,stock_price_cagr,3,25.0
COMP090,roe,5,22.5
COMP091,compounded_sales_growth,10,15.5
COMP091,compounded_sales_growth,5,18.2
COMP091,compounded_profit_growth,10,21.0
COMP091,compounded_profit_growth,5,19.4
COMP091,stock_price_cagr,3,25.0
COMP091,roe,5,22.5
COMP092,compounded_sales_growth,10,15.5
COMP092,compounded_sales_growth,5,18.2
COMP092,compounded_profit_growth,10,21.0
COMP092,compounded_profit_growth,5,19.4
COMP092,stock_price_cagr,3,25.0
COMP092,roe,5,22.5
